name,introduction,itinerary,destination_location
Experience the Old Tradition Thai Culture through The Legend of Bang Rachan Village & Buffalo Village,"In this trip you will learn part of <a class=""auto-highlight"" href=""/to/Ayutthaya"" target=""_blank"">Ayutthaya</a>’s history, the Legend of Bang Rachan Village. The front line village that fought with army of Burma to protect <a class=""auto-highlight"" href=""/to/Ayutthaya"" target=""_blank"">Ayutthaya</a>. And explore the traditional lifestyle of Thai farmers at Buffalo village","07:00 - Meet up at hotel lobby (in <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a> area) / 09:30 - Visit Wat Pho Kao Ton, a historical place during <a class=""auto-highlight"" href=""/to/Ayutthaya"" target=""_blank"">Ayutthaya</a> period. Moreover you can strolling and  shopping in a mini old town market wearing Traditional Thai costume at Baan Bang Rachan Retro Market. / 11:30 - Enjoy performance ""the legend of Baan Bang Rachan"" while having lunch along the riverside. / 12:30 - Explore the traditional lifestyle of Thai farmers and their trusty companions, the buffalo at the Buffalo Village, Suphan buri. / 17:30 - Enjoy Thai Traditional food with riverside view at Goodview restaurant, <a class=""auto-highlight"" href=""/to/Ayutthaya"" target=""_blank"">Ayutthaya</a>. / 18:30 - Return to <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a>. / 20:00 - Arrive at your hotel safe and sound.",Sing Buri
Night tour by Tuk Tuk: Enjoying the night in Battambang,"Let's explore the night time in Battambang with the Local Expert. With this trip, you will enjoy the drink on the rooftop to see the sunset. Also, you will visit the night market and try the streetfood.",17:00 - Meet up at The Place Hostel & Rooftop / 17:30 - Visit Sky view: drink on rooftop with view on the city at the sunset / 18:00 - Visit night market: feel the atmosphere and streetfood / 19:00 - See Cambodian nightlife : try the favorite place of the locals for a drink (beer garden) or party (club or karaoke) / 20:00 - Back to the hotel,Battambang
Immerse yourself in the vibe  of Bangkok's Old Town,"Let's take a boat ride along Chao Phraya river, check out places, and do some food hopping in the old town of <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a>.","13:00 - Meet up at BTS Station (Saphan Taksin) / 13:15 - Take a boat ride along the river, observe the local lives, and feel the breeze of <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a> / 13:45 - Pay a visit at Museum Siam. We'll walk around and learn Thai history, before moving on Flower market. / 16:00 - Take a quick rest a local cafe, then it's the street food time!  (Depending on your interests, we will decide later about where we will be checking the street foods and snacks.) / 17:00 - Take a walk along a vintage road called Tha Phra Ar Tid and watch the sunset by a nearby pier.  / 18:00 - Let's head back home",Bangkok
"A Trek Through the Nature: Doi Inthanon And ""Pha Dok Siew"" in One Day! ","Let's go trekking for 2 hours at Pha Dok Siew Nature Trail! You'll get to visit rice terraces, swim at a waterfall, see & taste organic coffee right here, all in one day!","07:30 - Meet up at hotel lobby (in <a class=""auto-highlight"" href=""/to/Chiang Mai"" target=""_blank"">Chiang Mai</a> area) / 09:00 - Let's visit the Rainbow Waterfall (Wachirathan Falls) where you can see the rainbow from the highest waterfall in the national park! / 10:00 - Next, we'll visit a twin pagoda up in the mountains with a bird's-eye view of the beautiful flower garden! / 11:00 - Visit the summit of Doi Inthanon, which is universally known as the highest peak in the country! / 12:30 - Next, let's see the local market (Hmong market) where you can shop the local food and produce! / 12:45 - Time for some lunch with delicious Thai food! / 13:30 - We'll trek for 2 hours to the Pha Dok Siew Nature Trail to see rice terraces, swim in the waterfall, visit the organic coffee farm and taste local coffee (non chemical) served by the local Karen tribe! / 17:30 - We've reached the end of the trip! Thank you for joining me! Hope you had fun!",Chiang Mai
"Damnoen Saduak Floating Market, Maeklong Railway Market and Boat Ride to Temple in the Tree!","Damnoen Saduak is one of the most famous floating markets in Thailand and <a class=""auto-highlight"" href=""/article/maeklong-railway-market"" target=""_blank"">Umbrella Market</a> one of the most unorthodox fresh markets in the world! Let's also see Bang Kung Temple which is located in a Tree!","07:00 - Meet up at our meeting point- BTS Station (Any Station)- Hotel lobby (in <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a> area)- MRT Station (Any Station) / 08:45 - Arrive at the floating market Take a long-tailed boat into the natural canal to observe the local liveliness of the market. buy some fruits or food in the boat. / 10:00 - Leave <a class=""auto-highlight"" href=""/article/damnoen-saduak"" target=""_blank"">Damnoen Saduak Floating Market</a>. / 10:30 - Arrive at the <a class=""auto-highlight"" href=""/article/maeklong-railway-market"" target=""_blank"">Umbrella Market</a> (<a class=""auto-highlight"" href=""/article/maeklong-railway-market"" target=""_blank"">Maeklong Railway Market</a>). / 11:00 - Watch the the train's coming through the market! Snap some photos! / 12:00 - Lunch time / 13:00 - Let's go to visit Bang Kung Temple by boat. We will spend 1-2 hour here depend on how much time you take to walk around the temple. / 14:30 - A good time to go back.",Samut Songkhram
"[Joined Tour] Doi Inthanon Trekking 1 day ","Trekking at Inthanon national park the highest mountain in Thailand, swimming at the waterfall, see beautiful flower garden at King & Queen pagoda. [This is joined tour]","07:00 - Meet up at hotel lobby (in <a class=""auto-highlight"" href=""/to/Chiang Mai"" target=""_blank"">Chiang Mai</a> area) / 07:00 - The van will pick up at hotel lobby between 7.00-7.30 am. / 09:00 - Visit the rainbow waterfall (Wachirathan) where you can see the rainbow from the highest waterfall in the national park . / 10:30 - Visit the summit of Doi inthanon mountain the highest peak in Thailand. / 11:15 - Visit King & Queen pagoda also see the beautiful flower garden, the panoramic view, fresh air nice and cool. / 12:30 - Have lunch with delicious Thai food. / 13:30 - Trekking at Pha dok siew nature trail -see nice senerry along the riverside -beautiful waterfall and swim -rice terraces (June-October)-coffee plantation / 15:30 - Test the organic coffee grow and roasted by the hill tribe people. / 17:30 - Send you back to your hotel.",Chiang Mai
"Cycling, Historical places, Museum & Fair Price Seafood","Cycling around to touch and feel wonderful Chao Phraya River View (its final downstream to the sea) and Gulf of Thailand view also survey historical place at the same time. To taste fresh seafood in fair price and to learn local culture in <a class=""auto-highlight"" href=""/to/Samut Prakan"" target=""_blank"">Samut Prakarn</a>.","07:00 - Meet up at BTS Station (Bearing) / 08:00 - Have some local breakfast and arrive ‘Chulachomklao Fort’ an ancient Thai navy fort at final downstream of ChaoPhraya river and close to Gulf of Thailand, You can overview the ChaoPhraya river as same as Gulf of Thailand' view. / 08:30 - To survey ‘Mae Klong’ large battle ship in the Chulachomklao Fort and see King Rama V statue. / 09:00 - Cycling around the fort to get fresh air, warm up and get ready for tour. (The trip include our pro-active bicycle for you to enjoy cycling)  / 10:00 - Take you to Sa-khla temple and Sa-khla museum to touch and lean about old traditional and life style of local fisherman in the past and shop dry seafood. (Due to east and west of this city close to ChoaPhraya river and the south close to the Gulf of Thail / 10:30 - Take you to Sa-khla museum to lean about old traditional and life style of local fisherman in the past, to shop dry seafood. (East and west of the city close to ChoaPhraya river, the south close to the Gulf of Thailand hence the citizen here are almost fi / 11:00 - Survey around Sa-khla temple with combine plenty of wonderful historical statues, a like wax figure of famous monk in the past, to see some animal stuff, to see a live big Amazon sneak fish and etc.  / 12:00 - Lunch time, to eat Seafood in local place with fair price but fresh, clean and delicious. / 14:00 - Drive back to <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a> / 15:00 - Arrive BTS (Bearing station)",Samut Prakan
Muay Thai Madness: Train Muay Thai with a Pro,"At OK BOXING MUAYTHAI GYM, you can train with professional Muay Thai instructors.Learn the basics of Muay Thai with high-quality equipment. No experience needed! We will train you in this world-famous Thai martial art.","12:00 - Meet up at hotel lobby (in <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a> area) / 13:00 - Arrive at OK BOXING MUAYTHAI GYM. Change clothes and get ready for some Thai boxing training with professional Muay Thai instructors. / 13:15 - Let the training begin! Let's start with some warm ups. / 13:30 - Learn the basics of Muay Thai with high-quality equipment. Rest assured, no experience is needed. Now, you'll learn the proper techniques of Muay Thai: punching, kicking, and jabbing. / 16:30 - Session ends. Take a shower and change your clothes. Let's get ready to go back to your hotel. / 18:00 - Arrive at your hotel.",Bangkok
"Feel the Touch of Phuket's Living & Nature! ","Join me, your Local Expert, and you'll go sightseeing around the amazing Phuket's nature and lifestyle and local living here! You'll get to learn about the culture, food, history and way of life like no other!","05:30 - Meet up at our meeting point- Hotel lobby (in Phuket area)- Bus Terminal (Phuket Bus Terminal 2 (New), Phuket Bus Terminal (Old))- Airport (Phuket International Airport) / 06:15 - Let's watch the sunrise at the city park, the perfect spot to see the sunrise with jogging/cycling as optional activities (you can skip and meet at 8.00 for breakfast)! / 08:00 - Let's have breakfast at a local restaurant and eat like a local! Here, let's order some of the most authentic Thai dishes you can find! / 09:00 - Afterwards, we'll walk around the historical paths in Phuket at the charming old town (e.g. Thalang Road and Phang Nga Road), and a traditional fresh market! / 11:00 - Next, we'll be visiting the city hill viewpoint at Khao To Sae, and you can see wild monkeys here, which is why it's known as the ""Monkey Hill""! / 12:00 - Let's have lunch at a local restaurant! / 13:00 - Next, let's head to a famous viewpoint at Khao Kard Viewpoint, where you can see the panoramic view of the island! / 14:00 - Now, we'll go to another viewpoint at the Karon Viewpoint, where you can see Kata and Karon beaches from the top! Let's enjoy the view! / 15:00 - Next, we visit Promthep Cape Viewpoint, which is the most famous and iconic viewpoint in the whole of Phuket! / 16:00 - The trip ends now! I'll return you back to your hotel or any requested areas within Phuket! Thank you for joining me, and I hope you had a great time!",Phuket
Ayutthaya in A Nutshell - Historic City,"Traveling from <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a> to <a class=""auto-highlight"" href=""/to/Ayutthaya"" target=""_blank"">Ayutthaya</a> by private, let's rejoice in all <a class=""auto-highlight"" href=""/to/Ayutthaya"" target=""_blank"">Ayutthaya</a>'s glories. The places we will be visiting includes: a local floating market, Wat Mahatat temple, etc.","09:30 - Meet up at our meeting point- BTS Station (Mo Chit, Saphan Khwai, Victory Monument)- MRT Station (<a class=""auto-highlight"" href=""https://www.takemetour.com/article/chatuchak-market"" target=""_blank"">Chatuchak</a> Park, Kamphaeng Phet, Lat Phrao, Phahon Yothin, Ratchadaphisek)- Hotel lobby (in <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a> area) / 10:30 - Arriving in <a class=""auto-highlight"" href=""/to/Ayutthaya"" target=""_blank"">Ayutthaya</a>; the trip starts at a floating market. You will enjoy walking around the market. We will have lunch here. / 13:00 - Exploring the city and some old temples; the plan can be flexible. You can stop at every famous temples or just some temples. You can enjoy exploring the temples and taking photos as long as you want. / 17:00 - Going back to <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a>.",Ayutthaya
"Explore Lamphun Like You've Never Before! ","Explore unseen historic sights from <a class=""auto-highlight"" href=""/to/Chiang Mai"" target=""_blank"">Chiang Mai</a> to Lamphun including the ancient city & temples in Hariphunchai era (1200 years ago.) Enjoy local food and a beautiful railway bridge that survived from WWII, and the longest railway tunnel in Thailand!","08:30 - Meet up at hotel lobby (in <a class=""auto-highlight"" href=""/to/Chiang Mai"" target=""_blank"">Chiang Mai</a> area) / 09:30 - Let's start by visiting the ancient city from the  Hariphunchai era, which existed about 1,200 years ago or about 600 years before <a class=""auto-highlight"" href=""/to/Chiang Mai"" target=""_blank"">Chiang Mai</a>. We will go sightseeing around here for 30 minutes! / 10:00 - Time to head to Wat Chamthewi Temple! / 10:30 - Visit Wat Chamthewi, the ancient temple in the Hariphonchai era. The name of the temple came from the greatest ruler of Hariphonchai named Chamthewi. W'll be around here for 30 minutes. / 11:15 - Next, let's visit Wat Phra That Hariphunchai, the most important temple in Lamphun! Let's go see the beautiful pagoda in this temple! We will be here for 1 hour! / 12:15 - Let's have lunch like a local near the temple! / 13:00 - After lunch, we'll be heading to Wat Phra Yuen Temple! / 13:15 - We'll be at Wat Phra Yuen Temple for about 30 minutes! / 13:45 - Time to go to Tha Chompoo Railway Bridge! / 14:30 - It's your chance to see the beautiful, white railway bridge with a wonderful surrounding scenery! / 15:15 - TIme to go to see the Khuntan Tunnel. / 15:45 - We are at Khuntan Tunnel, which is the longest railway tunnel in Thailand!. / 16:15 - Afterwards, we'll be heading back to <a class=""auto-highlight"" href=""/to/Chiang Mai"" target=""_blank"">Chiang Mai</a>! / 17:30 - I will be sending you all to your hotel with good memories (I hope!). Thank you for joining me on my trip!",Lamphun
Spiritual Evolution Day,"Meet a Khmer Shaman and go to the temple to have meditation, connection with the temple and receive energy from it. Blessing by Venerable and eat at Prey Monti temple.","09:00 - Meet up at hotel lobby (in Siem Reap area) / 09:15 - Take a tea and have an explication about the shaman ceremony / 09:30 - Departure for a ceremony with the Shaman Khmer, near the Bakong temple. / 12:30 - Have lunch together (Khmer vegetarian meals and drink) / 14:00 - Meditation, connection with the Prey Monti temple and receive energy from it. / 16:00 - Go to a pagoda and receive a blessing by a Venerable. / 17:00 - Go back to the hotel",Siem Reap
Private 3-Hour Vegetable and Fruit Carving Class in Chiang Mai! (Morning Class),"Come and experience Thai vegetable and fruit carving arts during this 3-hour private class in <a class=""auto-highlight"" href=""/to/Chiang Mai"" target=""_blank"">Chiang Mai</a>! You'll learn about traditional Thai carving techniques and have fun transforming local fruits and vegetables into your own unique art pieces!","08:45 - Meet up at hotel lobby (in <a class=""auto-highlight"" href=""/to/Chiang Mai"" target=""_blank"">Chiang Mai</a> area) / 09:00 - Let's start your session by learning some background knowledge of Thai carving, and the use of proper carving tools and techniques. Learn basic flowers and leaves pattern from local vegetables! / 10:30 - After the first session, we will have a short break where you can enjoy Thai local fruits or snacks! After that, you can continue to learn new carving patterns or try experimenting other kinds of fruits or vegetables! / 12:00 - Finish the carving class. You'll be dropped back at the hotel! You can take your carving pieces home with you, or donate them to our studio, which we'll offer the carving pieces to a local temple!",Chiang Mai
Enjoy your life in Ayutthaya (One-Day-Trip),"You will enjoy a private trip. We can exchange and share experiences. I will take you to an exotic place you may have never seen in <a class=""auto-highlight"" href=""/to/Ayutthaya"" target=""_blank"">Ayutthaya</a>.You will find peace and natural from here","08:30 - Meet up at our meeting point- MRT Station (Khlong Bang Phai, Sam Yaek Bang Yai, Phetchaburi)- Airport Rail Link Station (Makkasan Station) / 10:00 - Wat NiwetthammaprawatYou will experience a new transport system to cross the river to the temple.You will find peace, beautiful and natural from here. / 11:00 - We will visit and have breakfast at Kong Khong Market.You can find massage, food and thai dessert from here. / 14:00 - Buddha Uttayarn MaharachThis project started in 2013 by the Buddhist monks and people in the same area created by the Loung Por Tuad at the height of 51 meters and lap width of 24 metersThis place has the floating market, souvenirs, OTOP products and mo / 17:00 - Finish Trip- MRT Station (Khlong Bang Phai, Sam Yaek Bang Yai, Phetchaburi)- Airport Rail Link Station (Makkasan Station)",Ayutthaya
